"epoch","UNet3d-all-10-days_final - _step","UNet3d-all-10-days_final - _step__MIN","UNet3d-all-10-days_final - _step__MAX","UNet3d-all-10-days_final - Train Loss","UNet3d-all-10-days_final - Train Loss__MIN","UNet3d-all-10-days_final - Train Loss__MAX","UNet3d-all-10-days_final - Validation Loss","UNet3d-all-10-days_final - Validation Loss__MIN","UNet3d-all-10-days_final - Validation Loss__MAX"
"25","48.5","48","49","0.22866458055518923","0.22866458055518923","0.22866458055518923","0.24788651495210587","0.24788651495210587","0.24788651495210587"
"26","50.5","50","51","0.2278909207263709","0.2278909207263709","0.2278909207263709","0.248071851749574","0.248071851749574","0.248071851749574"
"27","52.5","52","53","0.22661965572353684","0.22661965572353684","0.22661965572353684","0.24995524892883916","0.24995524892883916","0.24995524892883916"
"28","54.5","54","55","0.225638203950592","0.225638203950592","0.225638203950592","0.2475003965439335","0.2475003965439335","0.2475003965439335"
"29","56.5","56","57","0.2226157199605044","0.2226157199605044","0.2226157199605044","0.24734466498897922","0.24734466498897922","0.24734466498897922"
"30","58.5","58","59","0.22348698728032165","0.22348698728032165","0.22348698728032165","0.24705205713548967","0.24705205713548967","0.24705205713548967"
"31","60.5","60","61","0.22200005122156807","0.22200005122156807","0.22200005122156807","0.24688334186230937","0.24688334186230937","0.24688334186230937"
"32","62.5","62","63","0.22198763773554847","0.22198763773554847","0.22198763773554847","0.24656340672123817","0.24656340672123817","0.24656340672123817"
"33","64.5","64","65","0.22128145669624483","0.22128145669624483","0.22128145669624483","0.24739400609847037","0.24739400609847037","0.24739400609847037"
"34","66.5","66","67","0.22314412951906085","0.22314412951906085","0.22314412951906085","0.24709354533303168","0.24709354533303168","0.24709354533303168"
"35","68.5","68","69","0.22211021856292262","0.22211021856292262","0.22211021856292262","0.24711181463733797","0.24711181463733797","0.24711181463733797"
"36","70.5","70","71","0.2204028118551869","0.2204028118551869","0.2204028118551869","0.24710231442605296","0.24710231442605296","0.24710231442605296"
"37","72.5","72","73","0.22022257652474847","0.22022257652474847","0.22022257652474847","0.24706561959558918","0.24706561959558918","0.24706561959558918"
"38","74.5","74","75","0.22159944845861568","0.22159944845861568","0.22159944845861568","0.24698254514125087","0.24698254514125087","0.24698254514125087"
"39","76.5","76","77","0.2207383977406191","0.2207383977406191","0.2207383977406191","0.2472515413838048","0.2472515413838048","0.2472515413838048"
"40","78.5","78","79","0.22080365483795766","0.22080365483795766","0.22080365483795766","0.2477664731202587","0.2477664731202587","0.2477664731202587"
"41","80.5","80","81","0.22049720989260482","0.22049720989260482","0.22049720989260482","0.2468568596147722","0.2468568596147722","0.2468568596147722"
"42","82.5","82","83","0.22125963266297574","0.22125963266297574","0.22125963266297574","0.24696556502772915","0.24696556502772915","0.24696556502772915"
"43","84.5","84","85","0.22165856867919476","0.22165856867919476","0.22165856867919476","0.24894053801413504","0.24894053801413504","0.24894053801413504"
"44","86.5","86","87","0.2207432068584166","0.2207432068584166","0.2207432068584166","0.24740684561191068","0.24740684561191068","0.24740684561191068"
"45","88.5","88","89","0.22063606060468233","0.22063606060468233","0.22063606060468233","0.24720936340670432","0.24720936340670432","0.24720936340670432"
